,X
0,can you tell something about LEA?
1,What is IDEA?
2,What is FAPE?
3,What is an IEP?
4,What is LRE?
5,What is PBIS?
6,What is a FBA?
7,What is a BIP?
8,What is a MDR?
9,What is Child Find?
10,Should I have my child evaluated for special education?
11,What is RTI?
12,What is the School Building Level Committee?
13,Can the school district refuse to evaluate my child until he or she goes through the RTI process?
14,Can the school use my private evaluation to expedite the evaluation process?
15,Is the public school system required to evaluate my child that attends a private school for free?
16,What does 1508 evaluation mean?
17,What are the exceptionalities?
18,How long does it take to get my child evaluated?
19,Can the school ask for evaluation extensions?
20,What happens if the parent disagree with the evaluation?
21,If my child is eligible for special education services, how long will it take to start the services?
22,Will I receive a notice about the IEP meeting?
23,Does the school have to tell me who will be attending the meeting?
24,Who are the IEP team members?
25,Are parents equal IEP team members?
26,Who is considered a parent on the IEP team?
27,What is the parent of the child has a disability or doesn’t speak English?
28,Is the student required to attend the IEP Meeting?
29,Can IEP members miss the IEP meeting, come in late, or leave early?
30,Is there a time limit on IEP meetings?
31,Who can have access to my child’s IEP?
32,Are there different types of IEPs?
33,Can an IEP be amended without a meeting?
34,What does placement mean?
35,How is placement decided?
36,What type of discussion or issues should be considered when deciding placement?
37,What are my placement options for a school-aged student?
38,What are the placement options for a child 3 to 5 years of age?
39,Will my child go to their regular neighborhood school?
40,Do parents need to consent to special education services?
41,What happens if I disagree with the services or placement in the IEP?
42,What happens if I refuse to consent to the IEP?
43,Can a parent revoke their consent for an IEP?
44,If the IEP team can’t come to an agreement, what options are available to resolve the disagreement?
45,Can my child attend an inclusion class?
46,Is there an age limit on the different ages in the same special education class?
47,How often do we have an IEP meeting?
48,Can the school purchase my child an Assistive Technology Device?
49,How does my child qualify for Extended School Year Services (ESY)?
50,Can my Child’s IEP include extracurricular services?
51,What is the age a child can receive special education services?
52,Does my child have to fail in order to qualify for special education services?
53,Will students aging out of Early Steps automatically qualify for special education services?
54,Why does my child need to be evaluated by the school district if he or she already has an autism diagnosis from the doctor?
55,Is Special Education only for children with intellectual delays?
